point_name,time,obs(m)
CNNMWD10,2022年12月,1.83
CNNMWD10,2023年4月,1.94
CNNMWD10,2023年5月,1.97
CNNMWD10,2023年6月,2.54
CNNMWD10,2023年7月,1.94
CNNMWD10,2023年8月,1.82
CNNMWD10,2023年9月,-999
CNNMWD10,2023年10月,-999
CSNMWD25,2022年3月,2.98
CSNMWD25,2022年4月,3.08
CSNMWD25,2022年5月,2.88
CSNMWD25,2022年6月,2.16
CSNMWD25,2022年7月,1.55
CSNMWD25,2022年8月,0.86
CSNMWD25,2022年9月,1.38
CSNMWD25,2022年10月,0.46
CSNMWD25,2022年11月,-999
CSNMWD25,2022年12月,1.39
CSNMWD25,2023年4月,-999
CSNMWD25,2023年5月,-999
CSNMWD25,2023年6月,-999
CSNMWD25,2023年7月,-999
CSNMWD25,2023年8月,-999
CSNMWD25,2023年9月,-999
CSNMWD25,2023年10月,-999
CSNMWD24,2022年3月,2.16
CSNMWD24,2022年4月,1.84
CSNMWD24,2022年5月,2.33
CSNMWD24,2022年6月,2.12
CSNMWD24,2022年7月,2.06
CSNMWD24,2022年8月,1.61
CSNMWD24,2022年9月,2.62
CSNMWD24,2022年10月,2.3
CSNMWD24,2022年11月,1.68
CSNMWD24,2022年12月,1.83
CSNMWD24,2023年4月,1.78
CSNMWD24,2023年5月,2.33
CSNMWD24,2023年6月,1.87
CSNMWD24,2023年7月,1.89
CSNMWD24,2023年8月,2.67
CSNMWD24,2023年9月,1.78
CSNMWD24,2023年10月,1.79
CNNMWD13,2022年3月,2.67
CNNMWD13,2022年4月,2.17
CNNMWD13,2022年5月,2.28
CNNMWD13,2022年6月,2.57
CNNMWD13,2022年7月,2.23
CNNMWD13,2022年8月,1.5
CNNMWD13,2022年9月,2.07
CNNMWD13,2022年10月,2.13
CNNMWD13,2022年11月,2.45
CNNMWD13,2022年12月,2.41
CNNMWD13,2023年4月,2.65
CNNMWD13,2023年5月,2.73
CNNMWD13,2023年6月,2.95
CNNMWD13,2023年7月,2.93
CNNMWD13,2023年8月,2.77
CNNMWD13,2023年9月,3.1
CNNMWD13,2023年10月,2.42
